Elapsed.time   CPU     Real.mem   Virtual.mem
    6299.087      378.600     9565.875    14682.805
    6300.088      390.700     9565.875    14682.805
    6301.089      365.500     9565.875    14682.805
    6302.090      378.700     9565.875    14682.805
    6303.091      486.500     9565.875    14682.805
    6304.092      297.700     9565.875    14682.805
    6305.093      383.500     9565.875    14682.805
    6306.094      483.700     9565.875    14682.805
    6307.095      354.500     9565.875    14682.805
    6308.096      397.700     9565.875    14682.805
    6309.097      438.500     9565.875    14682.805
    6310.099      350.400     9565.875    14682.805
    6311.100      383.600     9565.875    14682.805
    6312.101      361.600     9565.875    14682.805
    6313.103      332.500     9565.875    14682.805
    6314.104      455.600     9565.875    14682.805
    6315.104      368.600     9565.875    14682.805
    6316.105      356.900     9565.875    14682.805
    6317.106      362.600     9565.875    14682.805
    6318.107      486.500     9565.875    14682.805
    6319.108      390.500     9565.875    14682.805
    6320.110      354.600     9565.875    14682.805
    6321.110      447.800     9565.875    14682.805
    6322.114      376.500     9565.875    14682.805
    6323.114      476.800     9565.875    14682.805
    6324.115      362.700     9565.875    14682.805
    6325.116      316.800     9565.875    14682.805
    6326.117      365.700     9565.875    14682.805
    6327.119      366.600     9565.875    14682.805
    6328.120      359.600     9565.875    14682.805
    6329.121      359.600     9565.875    14682.805
    6330.122      304.700     9565.875    14682.805
    6331.123      352.600     9565.875    14682.805
    6332.124      431.700     9565.875    14682.805
    6333.126      436.300     9565.875    14682.805
    6334.127      433.400     9565.875    14682.805
    6335.128      362.600     9565.875    14682.805
    6336.129      317.800     9565.875    14682.805
    6337.130      366.600     9565.875    14682.805
    6338.132      459.100     9565.875    14682.805
